ID;CODCLIENTE;NRO DOCUMENTO;ESTADO
891;1667;0092688;Cargado
892;1667;0098911;Cargado
893;1667;0138878;Cargado
894;1667;0138929;Cargado
895;1667;0139979;Cargado
896;1667;0140019;Cargado
897;1667;0140066;Cargado
898;1667;0140121;Cargado
899;1667;0140160;Cargado
900;1667;0140192;Cargado
901;1667;0140232;Cargado
902;1667;0140271;Cargado
903;1667;0140342;Cargado
904;1667;0140390;Cargado
905;1667;0140424;Cargado
906;1667;0140308;Cargado
907;1667;0140494;Cargado
908;1667;0140525;Cargado
909;1667;0140557;Cargado
910;1667;0140656;Cargado
911;1667;0140736;Cargado
912;1667;0140776;Cargado
913;1667;0140835;Cargado
914;1667;0140884;Cargado
915;1667;0144954;Cargado
916;1667;0145080;Cargado
917;1667;0145125;Cargado
918;1667;0145141;Cargado
919;1667;0145175;Cargado
920;1667;0145220;Cargado
921;1667;0145251;Cargado
922;1667;0145311;Cargado
923;1667;0145365;Cargado
924;1667;0145400;Cargado
925;1667;0145413;Cargado
926;1667;0145451;Cargado
927;1667;0145536;Cargado
928;1667;0145571;Cargado
929;1667;0145628;Cargado
930;1667;0145747;Cargado
931;1667;0145812;Cargado
932;1667;0145852;Cargado
933;1667;0145883;Cargado
934;1667;0145889;Cargado
935;1667;0145894;Cargado
936;1667;0148559;Cargado
937;1667;0148588;Cargado
938;1667;0148628;Cargado
939;1667;0148682;Cargado
940;1667;0148718;Cargado
941;1667;0148774;Cargado
942;1667;0148808;Cargado
943;1667;0148863;Cargado
944;1667;0148905;Cargado
945;1667;0148947;Cargado
946;1667;0150488;Cargado
947;1667;0150513;Cargado
948;1667;0150540;Cargado
949;1667;0150628;Cargado
950;1667;0150670;Cargado
951;1667;0150722;Cargado
952;1667;0150767;Cargado
953;1667;0150804;Cargado
954;1667;0150893;Cargado
955;1683;0094502;Cargado
956;1683;0094717;Cargado
957;1683;0103159;Cargado
958;1683;0008763;Cargado
959;1683;0140910;Cargado
960;1683;0145018;Cargado
961;1683;0145049;Cargado
962;1683;0145216;Cargado
963;1683;0145231;Cargado
964;1683;0145511;Cargado
965;1683;0145578;Cargado
966;1683;0145884;Cargado
967;1683;0148484;Cargado
968;1683;0148552;Cargado
969;1683;0148741;Cargado
970;1683;0148786;Cargado
971;1683;0148915;Cargado
972;1683;0150782;Cargado
973;1683;0150860;Cargado
974;1692;0123705;Cargado
975;1692;0133297;Cargado
976;1692;0130301;Cargado
977;1692;0146615;Cargado
978;1692;0149488;Cargado
979;1692;0149499;Cargado
980;1692;0149561;Cargado
981;1692;0149730;Cargado
982;1692;0149766;Cargado
983;1692;0149914;Cargado
984;1693;0098879;Cargado
985;1693;0148560;Cargado
986;1713;0052941;Cargado
987;1713;0055030;Cargado
988;1713;0054766;Cargado
989;1713;0072328;Cargado
990;1713;0120171;Cargado
991;1713;0120194;Cargado
992;1713;0120195;Cargado
993;1713;0120507;Cargado
994;1713;0124907;Cargado
995;1713;0124908;Cargado
996;1713;0124920;Cargado
997;1713;0128353;Cargado
998;1713;0131805;Cargado
999;1713;0131891;Cargado
1000;1713;0135530;Cargado
1001;1713;0141005;Cargado
1002;1713;0141327;Cargado
1003;1713;0141340;Cargado
1004;1713;0147463;Cargado
1005;1713;0147814;Cargado
1006;1713;0152700;Cargado
1007;1758;0146741;Cargado
1008;1832;0007318;Cargado
1009;1832;0007212;Cargado
1010;1832;0067813;Cargado
1011;1939;0094016;Cargado
1012;1939;0139965;Cargado
1013;1939;0140442;Cargado
1014;1939;0140917;Cargado
1015;1939;0145520;Cargado
1016;1939;0145862;Cargado
1017;1951;0009195;Cargado
1018;1951;0022366;Cargado
1019;1951;0084358;Cargado
1020;1951;0561226;Cargado
1021;1951;0592018;Cargado
1022;1951;0064213;Cargado
1023;1951;0136274;Cargado
1024;1951;0136670;Cargado
